Item(s),Item 1,Item 2,Item 3,Item 4,Item 5,Item 6,Item 7,Item 8,Item 9,Item 10,Item 11,Item 12,Item 13,Item 14,Item 15,Item 16,Item 17,Item 18,Item 19,Item 20,Item 21,Item 22,Item 23,Item 24,Item 25,Item 26,Item 27,Item 28,Item 29,Item 30,Item 31,Item 32
13,Dragon Fruit,Cauliflower,Milk,yogurt,Ginger,bread,pastry,Potato,baking powder,soda,Chocolate,Chocolate,Rice,,,,,,,,,,,,,,,,,,,
2,Milk,bottled water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Green Chilli,Tumeric Powder,Cauliflower,ice cream,pastry,vinegar,Ghee,sugar,pet food,Coffee,Mixed fruit juice,shopping bags,lemon,Tumeric Powder,,,,,,,,,,,,,,,,,,
2,Sauces,napkins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,bottled water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Cauliflower,spices,Coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Green Chilli,Strawberry,flour,Cauliflower,Coca Cola,Potato,bottled water,soda,shopping bags,,,,,,,,,,,,,,,,,,,,,,,
1,Milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,flour,Tumeric Powder,cheese,Potato,Ghee,bottled water,soda,Tea,,,,,,,,,,,,,,,,,,,,,,,,
1,Chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Pepsi,cheese,Buns,bottled water,Chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,butter milk,Potato,Buns,soda,Chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Pepsi,Milk,ice cream,mustard,jam,bottled water,Sanitizer,,,,,,,,,,,,,,,,,,,,,,,,,
11,bread,Cabbage,Carrot,Cauliflower,yogurt,sour cream,cheese,Buns,Coffee,bottled water,napkins,,,,,,,,,,,,,,,,,,,,,
5,Buns,soda,mixed fruit juice,Mixed fruit juice,Cookies,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Tonic water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Tonic water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Milk,Buns,spices,bottled water,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Strawberry,Chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Ghee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Pepsi,Strawberry,Cauliflower,Milk,sour cream,cheese,Garlic,Potato,Buns,pastry,sugar,baking powder,,,,,,,,,,,,,,,,,,,,
2,Pepsi,Paneer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Cabbage,Cauliflower,Milk,curd,Potato,Buns,Beetroot,,,,,,,,,,,,,,,,,,,,,,,,,
1,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,flour,Buns,Rice,Coconut Juice,Paneer,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Cauliflower,Milk,Potato,Ghee,bottled water,mixed fruit juice,Mixed fruit juice,,,,,,,,,,,,,,,,,,,,,,,,,
2,butter,soups,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Tumeric Powder,butter,Ghee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Nuts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Pepsi,Bottleguard,Strawberry,Cauliflower,Milk,butter,curd,sour cream,Chocolate,ice cream,Buns,pastry,soda,Paneer,,,,,,,,,,,,,,,,,,
1,Bottleguard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Strawberry,yogurt,Milk,Potato,Buns,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,pastry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Carrot,Milk,curd,sour cream,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Nuts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Nuts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,bread,Buns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Apples,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Green Chilli,Apples,Onions,Milk,Ghee,Corn,soda,mixed fruit juice,napkins,,,,,,,,,,,,,,,,,,,,,,,
4,Milk,flour,Ghee,sugar,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Tumeric Powder,Milk,sour cream,frozen meals,flour,oil,waffles,Rice,napkins,Garlic,Nuts,shopping bags,,,,,,,,,,,,,,,,,,,,
1,Mixed fruit juice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Milk,frozen meals,soda,napkins,kitchen towels,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Cauliflower,chewing gum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Milk,Ginger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Dragon Fruit,Green Chilli,Strawberry,Apples,Tumeric Powder,Milk,bread,Potato,rice,soda,mixed fruit juice,Chocolate,Tumeric Powder,shopping bags,,,,,,,,,,,,,,,,,,
1,Mixed fruit juice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Tea,frozen vegetables,soda,mixed fruit juice,lemon,Paneer,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Cauliflower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Tonic water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Tonic water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Buns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Green Chilli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Strawberry,Apples,butter,Buns,oil,soda,Mixed fruit juice,Apples juice,Red Bull Drink,Pepsi,,,,,,,,,,,,,,,,,,,,,,
3,Buns,baking powder,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Chocolate,Snacks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,bread,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Milk,waffles,napkins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Apples,chewing gum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,flour,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Bananas,Strawberry,Cauliflower,curd,Carrot,bread,Sauces,,,,,,,,,,,,,,,,,,,,,,,,,
14,Strawberry,flour,Tumeric Powder,Cauliflower,yogurt,sour cream,frozen vegetables,ice cream,Buns,salt,sugar,soda,napkins,Paneer,,,,,,,,,,,,,,,,,,
9,bread,Apples,Onions,Milk,curd,yogurt,pastry,Instant Noodles,Guava,,,,,,,,,,,,,,,,,,,,,,,
3,cheese,soda,Spices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Mango,Tumeric Powder,Onions,Cauliflower,Milk,sour cream,cheese,cheese,cheese,Garlic,cheese,Potato,salt,Oranges,napkins,,,,,,,,,,,,,,,,,
2,Milk,Spices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Cauliflower,Buns,bread,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Pepsi,Tea,Buns,Tea,waffles,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,
6,yogurt,Buns,Coffee,soda,Tonic water,waffles,,,,,,,,,,,,,,,,,,,,,,,,,,
1,frozen meals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Carrot,Cauliflower,Tumeric Powder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Buns,chewing gum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Ghee,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Tumeric Powder,Cauliflower,yogurt,Milk,sugar,Coffee,soda,Tea,Tonic water,Cherry,Paneer,,,,,,,,,,,,,,,,,,,,,
1,Apples,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Green Chilli,Apples,Milk,butter,curd,Ghee,pet food,Coffee,waffles,,,,,,,,,,,,,,,,,,,,,,,
7,Apples,Milk,butter,sour cream,Tea,Paneer,Coca Cola,,,,,,,,,,,,,,,,,,,,,,,,,
8,Cabbage,Strawberry,Tumeric Powder,Cauliflower,bread,pastry,Chips,napkins,,,,,,,,,,,,,,,,,,,,,,,,
3,Milk,butter,Paneer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Cabbage,Garlic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Pepsi,Strawberry,flour,Cauliflower,Milk,butter,sour cream,cheese,Potato,Cherry,,,,,,,,,,,,,,,,,,,,,,
4,Cauliflower,Milk,Mixed fruit juice,Paneer,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,flour,yogurt,Milk,Garlic,Potato,Buns,pastry,Ghee,waffles,Sanitizer,,,,,,,,,,,,,,,,,,,,,,
3,Pepsi,Tonic water,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Cabbage,packaged fruit/vegetables,Milk,curd,sour cream,frozen vegetables,ice cream,Buns,bread,bread,Ghee,soda,Cookies,Chocolate,Chocolate,,,,,,,,,,,,,,,,,
7,Buns,mustard,soups,Instant Noodles,spread cheese,soda,Paneer,,,,,,,,,,,,,,,,,,,,,,,,,
4,Milk,yogurt,bottled water,Tonic water,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Strawberry,Apples,Tumeric Powder,yogurt,Ghee,Cherry,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Mango,flour,Apples,Cauliflower,Milk,yogurt,sour cream,spread cheese,Ginger,ice cream,sugar,baking powder,mixed fruit juice,Chips,waffles,Guava,Sanitizer,napkins,Snacks,,,,,,,,,,,,,
5,Milk,yogurt,sour cream,Tea,bread,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,bread,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,bread,Cookies,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Pepsi,Strawberry,Cauliflower,yogurt,sour cream,frozen meals,pasta,Coffee,bottled water,shopping bags,,,,,,,,,,,,,,,,,,,,,,
2,cheese,cheese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,bread,Strawberry,Onions,Cauliflower,curd,sour cream,ice cream,Potato,bread,vinegar,baking powder,,,,,,,,,,,,,,,,,,,,,
4,yogurt,lemon,Coconut Juice,Paneer,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Tumeric Powder,Cauliflower,Milk,cheese,Buns,baking powder,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Buns,sugar,Coffee,Tonic water,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,berries,Ghee,Coffee,Coffee,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Buns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Green Chilli,Buns,Milk,curd,yogurt,Garlic,spices,pickled vegetables,spread cheese,pet food,soda,Chocolate,Coconut Juice,,,,,,,,,,,,,,,,,,,
6,Cabbage,Bottleguard,Milk,butter,curd,Garlic,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Pepsi,Beans,Cauliflower,yogurt,sour cream,Potato,bread,Coffee,bottled water,soda,Mixed fruit juice,Paneer,shopping bags,,,,,,,,,,,,,,,,,,,
1,Buns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Buns,Mixed fruit juice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Pepsi,Milk,Buns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,butter milk,pastry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Carrot,Tumeric Powder,Milk,pet food,soda,Sanitizer,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,
5,Carrot,Tumeric Powder,Cauliflower,pastry,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Pepsi,Buns,Apples,Cauliflower,butter milk,Guava,frozen vegetables,Blueberry,,,,,,,,,,,,,,,,,,,,,,,,
1,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,flour,Apples,Coffee,soda,mixed fruit juice,Chips,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Apples,Nuts,Milk,yogurt,sour cream,Garlic,Buns,waffles,Chocolate,Paneer,,,,,,,,,,,,,,,,,,,,,,
2,Strawberry,Potato,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,bread,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Pepsi,Beans,Carrot,Strawberry,curd,Milk,bread,sugar,soda,mixed fruit juice,Instant Noodles,Garlic,,,,,,,,,,,,,,,,,,,,
3,flour,Cauliflower,Tonic water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Milk,sour cream,cheese,Buns,bread,Pet Food,Paneer,,,,,,,,,,,,,,,,,,,,,,,,,
7,berries,Cauliflower,Milk,cheese,Ghee,bottled water,Tumeric Powder,,,,,,,,,,,,,,,,,,,,,,,,,
5,Mango,Green Chilli,Milk,yogurt,pet food,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,curd,bread,pastry,soda,Chips,lemon,waffles,chewing gum,Chocolate,Chocolate,,,,,,,,,,,,,,,,,,,,,,
1,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Tumeric Powder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,yogurt,Coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Beans,Apples,Tumeric Powder,Milk,frozen vegetables,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Strawberry,flour,Milk,butter,curd,yogurt,sour cream,Buns,pastry,,,,,,,,,,,,,,,,,,,,,,,
1,Tumeric Powder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Coffee,soda,waffles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Milk,Tea,frozen vegetables,Ghee,Garlic,Paneer,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Milk,bread,Cookies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Pepsi,flour,Milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Milk,bread,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,bread,Cabbage,Green Chilli,Buns,flour,Cauliflower,butter,curd,butter milk,yogurt,sour cream,Milk,frozen vegetables,pastry,flour,Ghee,Oranges,Coffee,mixed fruit juice,Chips,Chocolate,,,,,,,,,,,
1,mixed fruit juice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Beans,flour,Tumeric Powder,Cauliflower,Milk,butter,sour cream,frozen meals,Buns,Sanitizer,,,,,,,,,,,,,,,,,,,,,,
6,Cauliflower,yogurt,pastry,vinegar,bottled water,Cherry,,,,,,,,,,,,,,,,,,,,,,,,,,
5,bread,Tumeric Powder,butter,Mixed fruit juice,Nuts,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,cheese,frozen meals,soda,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,yogurt,sour cream,Milk,baking powder,bottled water,soda,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Cabbage,Strawberry,Milk,yogurt,mustard,pet food,soda,Paneer,,,,,,,,,,,,,,,,,,,,,,,,
3,Milk,Cookies,Chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,curd,sour cream,pudding powder,Coffee,Cookies,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,pastry,Tumeric Powder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,bread,Carrot,Milk,Buns,Oranges,bottled water,soda,,,,,,,,,,,,,,,,,,,,,,,,,
3,Cabbage,Spices,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,ice cream,bottled water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,flour,Apples,Tumeric Powder,curd,yogurt,flour,Ghee,sugar,bottled water,Paneer,,,,,,,,,,,,,,,,,,,,,,
14,flour,Apples,Milk,yogurt,ice cream,ice cream,Potato,pastry,flour,Ghee,Coffee,cake bar,napkins,shopping bags,,,,,,,,,,,,,,,,,,
10,Pepsi,Apples,Buns,pastry,soda,mixed fruit juice,Tonic water,Chips,Chocolate,Sanitizer,,,,,,,,,,,,,,,,,,,,,,
3,Milk,curd,Buns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Dragon Fruit,bottled water,Coffee,Paneer,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Carrot,Milk,butter,yogurt,cheese,Garlic,Coffee,Tumeric Powder,,,,,,,,,,,,,,,,,,,,,,,,
7,Green Chilli,ice cream,frozen vegetables,rice,Cookies,shopping bags,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,
11,Pepsi,Mango,Cauliflower,Tea,Guava,Buns,soda,Mixed fruit juice,Chocolate,Chocolate ,Chocolate,,,,,,,,,,,,,,,,,,,,,
12,Strawberry,flour,Tumeric Powder,Cauliflower,Milk,yogurt,oil,pet food,soda,Tea,mixed fruit juice,Paneer,,,,,,,,,,,,,,,,,,,,
5,Apples,Milk,Ghee,Coca Cola,bottled water,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Cauliflower,Milk,Chocolate,Chocolate,Paneer,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,flour,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Milk,mixed fruit juice,Paneer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Milk,Garlic,Chips,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Mango,Potato,pastry,Cookies,waffles,Chocolate,Cherry,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,
2,flour,Cauliflower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Tonic water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Mango,Onions,Cauliflower,Milk,sour cream,cheese,cheese,bread,Ginger,spread cheese,Chips,Chocolate,Cherry,,,,,,,,,,,,,,,,,,,
8,Cabbage,Carrot,frozen vegetables,soda,Tonic water,Garlic,Sanitizer,Paneer,,,,,,,,,,,,,,,,,,,,,,,,
4,grapes,butter,cheese,Tonic water,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Milk,pickled vegetables,bottled water,Mixed fruit juice,Chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,bread,Pepsi,Mango,flour,Buns,pastry,Chocolate,napkins,,,,,,,,,,,,,,,,,,,,,,,,
1,curd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Mixed fruit juice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Green Chilli,Tumeric Powder,jam,Coconut juice,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Strawberry,flour,Cauliflower,Milk,yogurt,Tea,Garlic,bottled water,Tumeric Powder,,,,,,,,,,,,,,,,,,,,,,,
2,Milk,Paneer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Chips,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Tonic water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Carrot,Pet Food,Paneer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Potato,Buns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Cauliflower,Buns,pastry,Mixed fruit juice,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Green Chilli,Strawberry,butter,mixed fruit juice,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Pepsi,Apples,oil,pet food,bottled water,soda,Mixed fruit juice,Spices,,,,,,,,,,,,,,,,,,,,,,,,
1,Coconut Juice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,bread,flour,Tumeric Powder,Buns,mustard,Oranges,Tea,Mixed fruit juice,shopping bags,,,,,,,,,,,,,,,,,,,,,,,
7,bread,Tumeric Powder,sour cream,Buns,Rice,salt,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,
9,bread,Pepsi,Carrot,Onions,Cauliflower,Buns,bread,Paneer,shopping bags,,,,,,,,,,,,,,,,,,,,,,,
6,flour,Apples,yogurt,frozen vegetables,pastry,Mixed fruit juice,,,,,,,,,,,,,,,,,,,,,,,,,,
16,bread,Cabbage,Carrot,Strawberry,flour,Apples,Tumeric Powder,herbs,Cauliflower,Milk,butter milk,Tea,cheese,frozen vegetables,Rice,pasta,,,,,,,,,,,,,,,,
1,Cauliflower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Cabbage,Cauliflower,sour cream,cheese,frozen vegetables,frozen meals,mixed fruit juice,Cookies,Chocolate,,,,,,,,,,,,,,,,,,,,,,,
12,Cauliflower,sour cream,Potato,Frozen Meals,Potato,Buns,Cherry,pet food,Chocolate,Chocolate ,napkins,shopping bags,,,,,,,,,,,,,,,,,,,,
1,Milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Pepsi,Buns,Cauliflower,yogurt,Garlic,Bananas,bottled water,soda,,,,,,,,,,,,,,,,,,,,,,,,
7,Pepsi,flour,Milk,yogurt,sour cream,bread,bottled water,,,,,,,,,,,,,,,,,,,,,,,,,
12,Carrot,Tumeric Powder,Onions,Cauliflower,Milk,butter,frozen vegetables,Potato,Buns,Mixed fruit juice,Tonic water,napkins,,,,,,,,,,,,,,,,,,,,
2,bottled water,Tea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,butter milk,ice cream,Cookies,chewing gum,Brocolli,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,soda,Chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Cabbage,Strawberry,berries,Tumeric Powder,yogurt,soda,,,,,,,,,,,,,,,,,,,,,,,,,,
10,bread,flour,ice cream,Milk,ice cream,pastry,Corn,mustard,Brocolli,Sanitizer,,,,,,,,,,,,,,,,,,,,,,
8,bread,Milk,frozen meals,Potato,bread,pastry,Mixed fruit juice,Chocolate,,,,,,,,,,,,,,,,,,,,,,,,
10,Pepsi,Milk,butter,Potato,bread,Ghee,Chocolate,Beetroot,Coca Cola,shopping bags,,,,,,,,,,,,,,,,,,,,,,
3,Cabbage,Apples,frozen vegetables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Tea,Garlic,Buns,Chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,mixed fruit juice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Carrot,sour cream,cheese,Garlic,spread cheese,Guava,bread,bottled water,soda,mixed fruit juice,,,,,,,,,,,,,,,,,,,,,,
12,bread,Beans,Carrot,Green Chilli,Buns,Strawberry,Tumeric Powder,Cauliflower,Milk,Potato,bread,pet food,,,,,,,,,,,,,,,,,,,,
1,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,sour cream,Pet Food,soda,Tonic water,Beetroot,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Pepsi,Strawberry,Tumeric Powder,Cauliflower,Milk,Buns,bread,pet food,bottled water,,,,,,,,,,,,,,,,,,,,,,,
4,Tumeric Powder,Cauliflower,Milk,Ghee,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Tomato,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,bread,Tumeric Powder,Onions,Cauliflower,butter,Potato,pasta,Tonic water,,,,,,,,,,,,,,,,,,,,,,,,
1,Coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,butter,Milk,frozen vegetables,ketchup,bottled water,soda,Mixed fruit juice,,,,,,,,,,,,,,,,,,,,,,,,,
3,soda,Mixed fruit juice,Tomato,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Rice,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,bread,Cabbage,Carrot,Green Chilli,Buns,flour,berries,Milk,pastry,Rice,oil,Ghee,sugar,Corn,mustard,soups,Cherry,jam,bottled water,Mixed fruit juice,lemon,Tumeric Powder,,,,,,,,,,
5,Tonic water,Spices,Chocolate,Rice,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Cauliflower,Milk,butter,Garlic,bread,pastry,Soups,Rice,Garlic,Paneer,shopping bags,,,,,,,,,,,,,,,,,,,,,
7,pastry,flour,sugar,baking powder,Coffee,Tonic water,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,
2,Pet Food,waffles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,baking powder,Coca Cola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Pepsi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,sugar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Pet Food,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Pet Food,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,berries,sour cream,oil,pet food,Tomato,Cherry,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,
2,flour,Buns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Green Chilli,Chips,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,flour,Cauliflower,Milk,cheese,ice cream,bread,pastry,bread,Oranges,pet food,soda,napkins,Paneer,shopping bags,,,,,,,,,,,,,,,,,,
14,Dragon Fruit,Cabbage,Strawberry,Tumeric Powder,Cauliflower,ice cream,Potato,spices,pickled vegetables,bottled water,soda,lemon,Chocolate ,Brocolli,,,,,,,,,,,,,,,,,,
1,chewing gum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,curd,yogurt,sour cream,ice cream,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Cabbage,berries,Cauliflower,pastry,Rice,oil,sugar,,,,,,,,,,,,,,,,,,,,,,,,,
1,Mixed fruit juice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,herbs,Milk,cheese,Buns,pastry,bottled water,waffles,,,,,,,,,,,,,,,,,,,,,,,,,
1,yogurt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Pepsi,Tumeric Powder,sugar,spread cheese,mixed fruit juice,Mixed fruit juice,Chips,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,
18,Pepsi,Apples,Cauliflower,Milk,butter,ice cream,butter milk,yogurt,sour cream,cheese,Guava,oil,mustard,baking powder,lemon,Cookies,Chocolate,Chocolate,,,,,,,,,,,,,,
5,flour,ice cream,yogurt,Tomato,Sanitizer,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Spices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,bread,Pepsi,Bananas,Cabbage,Carrot,Tumeric Powder,Milk,sour cream,cheese,frozen vegetables,bottled water,mixed fruit juice,Chips,Cookies,,,,,,,,,,,,,,,,,,
1,Tonic water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Cabbage,Strawberry,Onions,Cauliflower,Milk,Tomato,Rice,flour,sugar,pickled vegetables,,,,,,,,,,,,,,,,,,,,,,
6,Bottleguard,Strawberry,butter,sour cream,cheese,bread,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Ginger,Buns,cake bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
