item1,item2,item3,item4,item5,item6,item7,item8,item9,item10,item11,item12
Lemon,Apple,Potato,Sugar,Carrot,Cauliflower,Cheese,Green Chili,Cumin Seeds,,,
Tea Powder,Honey,Okra,Semolina,Ginger,Banana,Papaya,Tamarind,Coffee Powder,,,
Sugar,Lemon,Honey,Potato,Pomegranate,Semolina,Rice,Cooking Oil,Tea Powder,Cabbage,Tomato,
Curd,Coriander,Turmeric Powder,Tomato,Banana,Sooji,Fenugreek Leaves,Okra,Bread,,,
Cauliflower,Milk,Tea Powder,Capsicum,Tomato,Ginger,Salt,Pickle,Onions,,,
Green Chili,Okra,Salt,Milk,Cheese,Coconut,Guava,Cooking Oil,Ginger,Garlic,Bell Peppers,
Sugar,Dals,Guava,Potato,Wheat Flour,Mustard Seeds,Beetroot,,,,,
Pickle,Orange,Capsicum,Spinach,Mango,Okra,Lemon,Dals,Mint Leaves,Butter,Garlic,Cabbage
Cheese,Wheat Flour,Coffee Powder,Cabbage,Cooking Oil,Guava,Bread,Cauliflower,Ginger,Lassi,,
Chili Powder,Rice,Tea Powder,Papaya,Beetroot,Tamarind,,,,,,
Turmeric Powder,Green Chili,Sooji,Sugar,Jam,Cabbage,Milk,Lemon,Chili Powder,Potato,Curd,Salt
Cauliflower,Pomegranate,Lassi,Biscuits,Paneer,Garlic,Tomato,Besan,Capsicum,,,
Cabbage,Bread,Apple,Ginger,Cumin Seeds,Lassi,Besan,Papaya,Fenugreek Leaves,Spinach,,
Milk,Fenugreek Leaves,Apple,Green Chili,Onions,Chili Powder,Cauliflower,Brinjal,,,,
Bell Peppers,Coconut,Capsicum,Tamarind,Paneer,Cabbage,Mango,Dals,Mint Leaves,Garlic,Salt,Yogurt
Orange,Wheat Flour,Brinjal,Yogurt,Tea Powder,Bread,Biscuits,Pickle,,,,
Sooji,Lemon,Brinjal,Mango,Yogurt,Wheat Flour,Pomegranate,Okra,,,,
Yogurt,Coriander,Paneer,Coffee Powder,Cheese,Jam,Mustard Seeds,,,,,
Wheat Flour,Mango,Okra,Dals,Butter,Coffee Powder,Spinach,Cauliflower,Onions,Brinjal,,
Salt,Potato,Mango,Curd,Cumin Seeds,Butter,Spinach,Besan,Tamarind,,,
Onions,Cooking Oil,Apple,Spinach,Curd,Dals,Bell Peppers,Okra,Fenugreek Leaves,Wheat Flour,Honey,
Lemon,Tamarind,Bell Peppers,Coffee Powder,Wheat Flour,,,,,,,
Coffee Powder,Jam,Capsicum,Besan,Ginger,Bread,Cooking Oil,Sugar,Wheat Flour,Chili Powder,Sooji,Potato
Mango,Garlic,Pickle,Semolina,Coconut,Ginger,Bell Peppers,Green Chili,Coffee Powder,Guava,Capsicum,Yogurt
Curd,Okra,Ginger,Onions,Fenugreek Leaves,Tamarind,Cooking Oil,Cheese,,,,
Carrot,Coconut,Sugar,Rice,Tea Powder,,,,,,,
Wheat Flour,Spinach,Papaya,Coriander,Jam,Capsicum,Honey,Mint Leaves,Yogurt,Onions,Turmeric Powder,Banana
Cooking Oil,Cabbage,Jam,Lemon,Potato,Salt,Dals,Apple,Wheat Flour,Tamarind,,
Mango,Rice,Garlic,Brinjal,Semolina,Cheese,Fenugreek Leaves,Bell Peppers,Curd,Apple,Sugar,Besan
Cabbage,Butter,Orange,Mango,Coconut,Spinach,Tamarind,Wheat Flour,Bell Peppers,Brinjal,Cooking Oil,Pickle
Papaya,Coconut,Onions,Apple,Coffee Powder,Coriander,Biscuits,Semolina,,,,
Apple,Mint Leaves,Semolina,Coconut,Milk,Chili Powder,Capsicum,Sugar,Cheese,Coffee Powder,Banana,Turmeric Powder
Orange,Cumin Seeds,Banana,Semolina,Chili Powder,Cauliflower,Onions,Okra,Butter,Fenugreek Leaves,Tamarind,
Lassi,Pickle,Paneer,Salt,Garlic,Cheese,Tamarind,Cooking Oil,Bell Peppers,Yogurt,Fenugreek Leaves,Guava
Milk,Paneer,Rice,Fenugreek Leaves,Chili Powder,Mango,,,,,,
Mint Leaves,Onions,Ginger,Yogurt,Guava,Rice,,,,,,
Coffee Powder,Milk,Mango,Lassi,Orange,Bell Peppers,Bread,Garlic,Tomato,Sooji,Turmeric Powder,Okra
Besan,Cauliflower,Carrot,Sugar,Okra,Mint Leaves,Coriander,Lemon,Bell Peppers,Green Chili,,
Mango,Coconut,Tea Powder,Papaya,Pomegranate,Apple,Mint Leaves,Turmeric Powder,Lemon,,,
Cabbage,Wheat Flour,Cumin Seeds,Salt,Ginger,,,,,,,
Mint Leaves,Lassi,Biscuits,Banana,Turmeric Powder,Pomegranate,Mango,Besan,Coconut,Paneer,Brinjal,
Rice,Tomato,Chili Powder,Besan,Pomegranate,Cheese,Guava,Semolina,Spinach,Milk,,
Jam,Salt,Capsicum,Curd,Fenugreek Leaves,,,,,,,
Spinach,Biscuits,Pomegranate,Tamarind,Curd,Coriander,Rice,Garlic,Butter,Bell Peppers,Tomato,Semolina
Spinach,Milk,Carrot,Coriander,Capsicum,Potato,Sooji,Salt,Bell Peppers,Yogurt,Guava,
Wheat Flour,Carrot,Lassi,Brinjal,Mango,Okra,Besan,,,,,
Mango,Green Chili,Banana,Yogurt,Jam,Cauliflower,Capsicum,Lemon,Tomato,Pomegranate,Chili Powder,Rice
Biscuits,Onions,Papaya,Milk,Fenugreek Leaves,Banana,Orange,Lemon,Coriander,,,
Sooji,Jam,Fenugreek Leaves,Cheese,Honey,Beetroot,Papaya,Besan,Bread,Tea Powder,Cooking Oil,Semolina
Butter,Lemon,Tomato,Bell Peppers,Salt,Coconut,Mustard Seeds,Wheat Flour,Okra,Paneer,,
Wheat Flour,Chili Powder,Guava,Okra,Green Chili,Coriander,Mango,Turmeric Powder,Lemon,Pickle,Sooji,
Milk,Mint Leaves,Yogurt,Lemon,Semolina,Carrot,Banana,Cauliflower,Coriander,Tamarind,Turmeric Powder,
Lassi,Coconut,Bell Peppers,Brinjal,Biscuits,,,,,,,
Butter,Cheese,Garlic,Tea Powder,Papaya,Wheat Flour,Cabbage,Semolina,Apple,Mustard Seeds,Cauliflower,Milk
Guava,Ginger,Orange,Okra,Banana,Besan,Curd,Wheat Flour,Fenugreek Leaves,Chili Powder,Bread,
Salt,Garlic,Apple,Paneer,Lassi,Spinach,Rice,Brinjal,,,,
Banana,Ginger,Capsicum,Bread,Carrot,Lassi,Onions,Biscuits,Jam,Paneer,,
Cooking Oil,Butter,Jam,Salt,Carrot,Sooji,,,,,,
Milk,Cumin Seeds,Mint Leaves,Garlic,Rice,Chili Powder,Biscuits,Brinjal,Tamarind,Ginger,Butter,
Butter,Mango,Garlic,Coffee Powder,Capsicum,Milk,Curd,Jam,Cooking Oil,Ginger,,
Coffee Powder,Onions,Coconut,Banana,Green Chili,Honey,Cabbage,Tea Powder,Brinjal,Capsicum,Cauliflower,Paneer
Tea Powder,Wheat Flour,Tamarind,Bell Peppers,Sooji,Potato,Turmeric Powder,Guava,,,,
Ginger,Yogurt,Fenugreek Leaves,Biscuits,Coriander,Curd,Pomegranate,Mustard Seeds,Carrot,Butter,,
Mustard Seeds,Sooji,Tea Powder,Carrot,Papaya,Salt,Green Chili,Cabbage,Apple,Biscuits,Garlic,Onions
Spinach,Beetroot,Carrot,Okra,Pickle,Sooji,Wheat Flour,Brinjal,Bread,,,
Salt,Paneer,Honey,Turmeric Powder,Mango,Tea Powder,,,,,,
Coconut,Turmeric Powder,Cooking Oil,Okra,Cumin Seeds,,,,,,,
Bell Peppers,Tamarind,Chili Powder,Papaya,Semolina,Rice,Milk,Bread,Butter,Apple,Sooji,
Papaya,Coffee Powder,Brinjal,Spinach,Cooking Oil,,,,,,,
Tea Powder,Cheese,Cauliflower,Lassi,Potato,Coffee Powder,Paneer,Cooking Oil,Garlic,,,
Bread,Mint Leaves,Semolina,Jam,Butter,Paneer,,,,,,
Tea Powder,Honey,Rice,Coriander,Coconut,Cumin Seeds,,,,,,
Brinjal,Tea Powder,Besan,Fenugreek Leaves,Ginger,,,,,,,
Fenugreek Leaves,Turmeric Powder,Cooking Oil,Sugar,Spinach,Butter,Sooji,Biscuits,Apple,Potato,,
Mango,Tea Powder,Sooji,Cumin Seeds,Yogurt,Pomegranate,Honey,Sugar,Tamarind,Coriander,,
Sooji,Honey,Spinach,Mango,Jam,Curd,,,,,,
Beetroot,Cumin Seeds,Capsicum,Pomegranate,Coconut,,,,,,,
Paneer,Lemon,Green Chili,Onions,Besan,Ginger,Jam,,,,,
Banana,Bread,Tea Powder,Cumin Seeds,Wheat Flour,Dals,Tomato,Capsicum,Sugar,Coffee Powder,Mustard Seeds,
Lemon,Guava,Dals,Turmeric Powder,Rice,Cooking Oil,Potato,Cumin Seeds,Fenugreek Leaves,Sugar,,
Garlic,Sugar,Besan,Dals,Green Chili,Coffee Powder,Biscuits,,,,,
Banana,Dals,Mango,Guava,Lassi,Capsicum,Sugar,Sooji,Cabbage,Butter,Fenugreek Leaves,Okra
Butter,Cooking Oil,Dals,Green Chili,Biscuits,Pomegranate,Bell Peppers,Jam,Onions,Cauliflower,Lassi,
Jam,Potato,Cheese,Carrot,Fenugreek Leaves,Tea Powder,Okra,Bell Peppers,Mango,,,
Dals,Papaya,Coffee Powder,Lemon,Guava,Cumin Seeds,Biscuits,Bell Peppers,Paneer,Bread,Okra,Honey
Dals,Banana,Yogurt,Rice,Guava,Coffee Powder,Cheese,Beetroot,Potato,Fenugreek Leaves,,
Sugar,Salt,Orange,Carrot,Cauliflower,Mustard Seeds,Yogurt,Lemon,,,,
Carrot,Mango,Sugar,Yogurt,Lemon,,,,,,,
Bread,Beetroot,Bell Peppers,Yogurt,Wheat Flour,Sugar,,,,,,
Rice,Papaya,Mango,Chili Powder,Semolina,Bell Peppers,Spinach,Curd,Milk,Guava,Biscuits,
Pickle,Mint Leaves,Apple,Chili Powder,Bell Peppers,Salt,Cooking Oil,Dals,,,,
Brinjal,Curd,Orange,Bread,Cauliflower,Ginger,Butter,Mustard Seeds,Pickle,Papaya,Yogurt,
Tomato,Capsicum,Wheat Flour,Cheese,Jam,Papaya,Cauliflower,Lassi,Potato,Paneer,,
Mango,Mustard Seeds,Coffee Powder,Tea Powder,Tamarind,Paneer,Honey,Besan,Pomegranate,,,
Sooji,Lassi,Honey,Paneer,Cauliflower,Lemon,Semolina,Bread,Rice,Milk,,
Pomegranate,Banana,Pickle,Spinach,Turmeric Powder,Curd,Capsicum,Coriander,,,,
Mustard Seeds,Cooking Oil,Sugar,Salt,Banana,Beetroot,Coriander,Tea Powder,Okra,Wheat Flour,Tamarind,Onions
Pickle,Tea Powder,Pomegranate,Dals,Semolina,Onions,Green Chili,Carrot,Wheat Flour,Spinach,Potato,Mango
Cumin Seeds,Cheese,Coriander,Tomato,Semolina,,,,,,,
Chili Powder,Capsicum,Apple,Semolina,Coconut,Fenugreek Leaves,Green Chili,Dals,Wheat Flour,,,
Yogurt,Bell Peppers,Besan,Spinach,Lassi,Cheese,Okra,,,,,
Cauliflower,Honey,Butter,Tomato,Papaya,Mint Leaves,Pomegranate,Apple,Bread,Ginger,Sugar,Potato
Pomegranate,Lemon,Wheat Flour,Cabbage,Milk,Turmeric Powder,Okra,Bread,Carrot,Orange,Dals,
Rice,Coffee Powder,Papaya,Mustard Seeds,Cumin Seeds,Yogurt,Sooji,Cooking Oil,Tamarind,,,
Mustard Seeds,Turmeric Powder,Onions,Coffee Powder,Garlic,Bread,Spinach,,,,,
Cheese,Carrot,Garlic,Orange,Turmeric Powder,Capsicum,Salt,Cauliflower,Mustard Seeds,Onions,Cabbage,Sooji
Cooking Oil,Ginger,Cabbage,Tamarind,Honey,Onions,Milk,Sooji,Wheat Flour,,,
Bell Peppers,Capsicum,Semolina,Tamarind,Sugar,,,,,,,
Biscuits,Guava,Besan,Cumin Seeds,Paneer,Capsicum,Coriander,Brinjal,,,,
Cauliflower,Jam,Cooking Oil,Rice,Mint Leaves,Orange,Butter,Coriander,Semolina,,,
Capsicum,Pomegranate,Banana,Coconut,Tamarind,Turmeric Powder,Cooking Oil,Rice,Mustard Seeds,Carrot,,
Cheese,Milk,Onions,Apple,Pickle,Rice,Bell Peppers,Salt,Tamarind,Papaya,Cumin Seeds,Tomato
Semolina,Fenugreek Leaves,Butter,Ginger,Guava,Tomato,Biscuits,,,,,
Fenugreek Leaves,Mango,Bread,Lassi,Pickle,Dals,Semolina,,,,,
Beetroot,Coriander,Yogurt,Biscuits,Onions,Mint Leaves,Paneer,Papaya,Curd,Garlic,Salt,Lassi
Tomato,Pomegranate,Okra,Honey,Coriander,,,,,,,
Butter,Ginger,Coconut,Okra,Wheat Flour,Turmeric Powder,Tea Powder,Yogurt,,,,
Capsicum,Pomegranate,Carrot,Sugar,Okra,Ginger,Butter,Yogurt,Dals,Tamarind,Guava,Lemon
Coriander,Cumin Seeds,Fenugreek Leaves,Dals,Yogurt,,,,,,,
Mint Leaves,Banana,Orange,Butter,Apple,Sugar,,,,,,
Okra,Butter,Cumin Seeds,Mint Leaves,Biscuits,Paneer,Fenugreek Leaves,,,,,
Bell Peppers,Yogurt,Tamarind,Garlic,Sugar,Coriander,Rice,,,,,
Semolina,Garlic,Rice,Biscuits,Coconut,Sugar,Coffee Powder,,,,,
Guava,Green Chili,Cumin Seeds,Cooking Oil,Jam,Cabbage,Yogurt,Coriander,Pomegranate,,,
Green Chili,Pickle,Banana,Potato,Pomegranate,Beetroot,,,,,,
Beetroot,Lemon,Cooking Oil,Bell Peppers,Ginger,Sugar,Mango,Green Chili,Chili Powder,Cabbage,Mint Leaves,
Besan,Milk,Cumin Seeds,Sooji,Biscuits,Jam,Rice,Garlic,Okra,Spinach,Cheese,
Curd,Guava,Capsicum,Okra,Pomegranate,Biscuits,Banana,Cheese,Papaya,Salt,Coriander,Sooji
Cheese,Butter,Paneer,Besan,Salt,,,,,,,
Dals,Tamarind,Coffee Powder,Green Chili,Salt,Pomegranate,Chili Powder,Mint Leaves,Cabbage,Bread,,
Banana,Onions,Lassi,Sooji,Butter,Spinach,Paneer,Tea Powder,Honey,Dals,,
Bell Peppers,Pickle,Chili Powder,Mustard Seeds,Orange,Semolina,Coffee Powder,,,,,
Green Chili,Coconut,Spinach,Tamarind,Mustard Seeds,Curd,Lassi,Capsicum,,,,
Biscuits,Guava,Yogurt,Coriander,Lemon,Mango,,,,,,
Yogurt,Tomato,Paneer,Brinjal,Cabbage,,,,,,,
Bread,Besan,Garlic,Mint Leaves,Mango,Cumin Seeds,Wheat Flour,,,,,
Semolina,Coriander,Mustard Seeds,Cooking Oil,Lemon,Honey,Coffee Powder,Ginger,Paneer,,,
Coconut,Dals,Fenugreek Leaves,Mint Leaves,Garlic,Pickle,Semolina,Ginger,Cauliflower,Mustard Seeds,,
Jam,Curd,Banana,Ginger,Brinjal,Garlic,Semolina,Milk,,,,
Bread,Milk,Fenugreek Leaves,Garlic,Papaya,Brinjal,Sugar,Spinach,,,,
Jam,Semolina,Carrot,Papaya,Coconut,Besan,Mango,Banana,Tomato,,,
Bell Peppers,Semolina,Tamarind,Yogurt,Banana,Milk,Wheat Flour,,,,,
Yogurt,Green Chili,Mango,Cumin Seeds,Apple,Paneer,Rice,Cooking Oil,Tomato,Tea Powder,Mint Leaves,Cheese
Bell Peppers,Tomato,Mustard Seeds,Rice,Pomegranate,Papaya,Salt,Cooking Oil,Orange,Banana,,
Guava,Cumin Seeds,Turmeric Powder,Carrot,Mustard Seeds,Salt,,,,,,
Carrot,Fenugreek Leaves,Yogurt,Onions,Dals,,,,,,,
Butter,Spinach,Mango,Pomegranate,Capsicum,Tomato,Curd,Tea Powder,Yogurt,,,
Carrot,Wheat Flour,Potato,Bell Peppers,Bread,Sooji,Pickle,Papaya,Dals,Honey,Yogurt,Jam
Biscuits,Lemon,Tamarind,Cumin Seeds,Wheat Flour,Cheese,,,,,,
Butter,Semolina,Guava,Ginger,Milk,Curd,Sugar,Mint Leaves,Mango,,,
Cooking Oil,Coriander,Potato,Coconut,Cheese,Dals,Turmeric Powder,,,,,
Fenugreek Leaves,Salt,Lemon,Beetroot,Garlic,Guava,Mint Leaves,Cooking Oil,Papaya,Cheese,,
Sugar,Potato,Salt,Butter,Garlic,Coconut,,,,,,
Lemon,Bell Peppers,Apple,Okra,Yogurt,Chili Powder,Biscuits,Ginger,,,,
Tea Powder,Lemon,Mint Leaves,Orange,Cabbage,,,,,,,
Mango,Paneer,Dals,Green Chili,Turmeric Powder,Fenugreek Leaves,Orange,Semolina,Biscuits,,,
Brinjal,Paneer,Bell Peppers,Butter,Green Chili,Coffee Powder,Orange,Mustard Seeds,Lassi,,,
Coriander,Fenugreek Leaves,Coffee Powder,Wheat Flour,Tamarind,Guava,Ginger,Besan,,,,
Biscuits,Carrot,Mustard Seeds,Cauliflower,Tamarind,Cheese,,,,,,
Chili Powder,Butter,Yogurt,Green Chili,Curd,Onions,,,,,,
Biscuits,Brinjal,Okra,Mustard Seeds,Guava,Ginger,Fenugreek Leaves,Yogurt,Garlic,Dals,Mint Leaves,Chili Powder
Dals,Semolina,Cooking Oil,Cabbage,Salt,,,,,,,
Onions,Coffee Powder,Biscuits,Fenugreek Leaves,Bell Peppers,Sugar,Orange,Dals,Brinjal,Mint Leaves,Lemon,Jam
Dals,Salt,Cabbage,Ginger,Orange,,,,,,,
Coconut,Papaya,Tamarind,Milk,Onions,Brinjal,Garlic,Ginger,Salt,Cauliflower,,
Guava,Curd,Bread,Garlic,Yogurt,Dals,Pomegranate,Orange,Beetroot,,,
Pickle,Mango,Onions,Garlic,Mustard Seeds,Coriander,Cooking Oil,Tomato,Spinach,Tamarind,,
Beetroot,Banana,Besan,Lemon,Cabbage,Tomato,Pomegranate,Mint Leaves,Semolina,Honey,,
Tea Powder,Coffee Powder,Onions,Bread,Mustard Seeds,,,,,,,
Paneer,Bread,Rice,Biscuits,Dals,Orange,Pomegranate,Tomato,Potato,Coffee Powder,,
Mango,Curd,Butter,Besan,Spinach,Brinjal,Apple,Salt,,,,
Sooji,Rice,Lemon,Garlic,Bread,Potato,Tea Powder,Tamarind,Butter,Tomato,,
Potato,Lemon,Mustard Seeds,Bell Peppers,Coconut,Besan,,,,,,
Ginger,Potato,Turmeric Powder,Lassi,Sooji,Bread,,,,,,
Turmeric Powder,Coconut,Spinach,Potato,Bread,Wheat Flour,Capsicum,Cabbage,Cumin Seeds,Coriander,Sooji,
Mango,Carrot,Potato,Salt,Tamarind,Yogurt,,,,,,
Rice,Tomato,Sugar,Lassi,Cabbage,Potato,Cheese,Papaya,Guava,Sooji,Cauliflower,
Tamarind,Turmeric Powder,Cooking Oil,Potato,Coconut,Banana,,,,,,
Milk,Coriander,Yogurt,Cheese,Cabbage,Salt,Cauliflower,Mustard Seeds,Green Chili,Potato,Chili Powder,
Curd,Rice,Milk,Honey,Tamarind,Bread,Fenugreek Leaves,Beetroot,Lassi,Turmeric Powder,,
Salt,Cumin Seeds,Wheat Flour,Coriander,Semolina,Curd,Guava,,,,,
Apple,Jam,Green Chili,Beetroot,Mustard Seeds,Curd,Dals,Cauliflower,,,,
Capsicum,Cheese,Ginger,Yogurt,Sugar,Dals,Spinach,Cauliflower,Cumin Seeds,,,
Cooking Oil,Coffee Powder,Cheese,Rice,Banana,Green Chili,Mustard Seeds,Capsicum,,,,
Semolina,Cumin Seeds,Jam,Coffee Powder,Bell Peppers,Butter,,,,,,
Brinjal,Mustard Seeds,Salt,Spinach,Guava,,,,,,,
Biscuits,Beetroot,Jam,Tomato,Capsicum,,,,,,,
Coffee Powder,Cauliflower,Mint Leaves,Beetroot,Papaya,Tamarind,,,,,,
Banana,Mango,Mint Leaves,Rice,Fenugreek Leaves,Onions,,,,,,
Cabbage,Cooking Oil,Honey,Brinjal,Salt,Capsicum,Sooji,Tamarind,Cumin Seeds,Coconut,,
Honey,Papaya,Orange,Dals,Guava,Butter,Coconut,Brinjal,,,,
Pickle,Coriander,Apple,Capsicum,Cumin Seeds,Spinach,Guava,,,,,
Curd,Papaya,Tomato,Onions,Salt,Besan,Fenugreek Leaves,,,,,
Onions,Rice,Fenugreek Leaves,Cumin Seeds,Lassi,Apple,Bell Peppers,Lemon,Turmeric Powder,Paneer,,
Coconut,Beetroot,Cooking Oil,Dals,Papaya,Honey,Sooji,Sugar,Mint Leaves,Cheese,,
Bell Peppers,Rice,Jam,Tamarind,Papaya,Honey,Garlic,Biscuits,Butter,Brinjal,Tomato,
Milk,Mint Leaves,Sugar,Mustard Seeds,Cauliflower,Honey,Cabbage,Spinach,Tamarind,Pomegranate,Bell Peppers,
Green Chili,Cheese,Coriander,Dals,Pomegranate,Banana,Carrot,Pickle,Salt,,,
Lemon,Spinach,Wheat Flour,Tea Powder,Apple,Bell Peppers,Semolina,Yogurt,Biscuits,,,
Rice,Biscuits,Potato,Beetroot,Curd,Apple,,,,,,
Mint Leaves,Cumin Seeds,Orange,Turmeric Powder,Semolina,Milk,Coconut,,,,,
Honey,Turmeric Powder,Guava,Butter,Milk,Mint Leaves,Mango,Lemon,Pickle,Mustard Seeds,,
Biscuits,Lassi,Bell Peppers,Orange,Ginger,Sooji,Cumin Seeds,Cauliflower,,,,
Mint Leaves,Dals,Yogurt,Coriander,Okra,Wheat Flour,Pomegranate,Coconut,Butter,Garlic,Cumin Seeds,Milk
Sooji,Green Chili,Onions,Tomato,Coconut,,,,,,,
Semolina,Jam,Potato,Spinach,Turmeric Powder,Mango,Okra,Coconut,,,,
Lemon,Cooking Oil,Coconut,Paneer,Tomato,Okra,Butter,Papaya,Besan,Dals,Mustard Seeds,Curd
Tea Powder,Cabbage,Sugar,Milk,Jam,,,,,,,
Coriander,Cheese,Fenugreek Leaves,Milk,Besan,Spinach,Onions,Jam,,,,
Beetroot,Orange,Carrot,Apple,Green Chili,Sugar,Capsicum,Honey,Turmeric Powder,,,
Ginger,Mango,Beetroot,Butter,Cauliflower,Coffee Powder,,,,,,
Coconut,Potato,Milk,Coriander,Carrot,Coffee Powder,Sooji,Biscuits,Green Chili,Mango,Salt,
Beetroot,Butter,Okra,Potato,Tomato,Spinach,,,,,,
Brinjal,Lassi,Dals,Okra,Curd,Capsicum,Guava,Rice,Mustard Seeds,Cabbage,,
Onions,Papaya,Lassi,Cauliflower,Jam,Tea Powder,Guava,Green Chili,,,,
Besan,Potato,Yogurt,Sugar,Onions,Brinjal,Green Chili,Rice,Orange,Spinach,Lassi,Tomato
Dals,Potato,Pickle,Lassi,Mint Leaves,Fenugreek Leaves,Okra,,,,,
Papaya,Guava,Mint Leaves,Fenugreek Leaves,Cumin Seeds,Rice,Onions,Turmeric Powder,,,,
Jam,Papaya,Cumin Seeds,Dals,Paneer,Chili Powder,Wheat Flour,Honey,Banana,Sugar,,
Spinach,Chili Powder,Brinjal,Tea Powder,Rice,,,,,,,
Coriander,Garlic,Onions,Mustard Seeds,Coconut,Turmeric Powder,Mint Leaves,Potato,Tea Powder,Orange,,
Papaya,Tamarind,Mango,Sugar,Lemon,Beetroot,Biscuits,,,,,
Cheese,Coriander,Tea Powder,Ginger,Tamarind,,,,,,,
Semolina,Bread,Salt,Besan,Pickle,Turmeric Powder,Banana,Tea Powder,,,,
Ginger,Lemon,Mint Leaves,Rice,Turmeric Powder,Guava,Capsicum,,,,,
Butter,Spinach,Tomato,Coconut,Bell Peppers,Yogurt,Sugar,Cumin Seeds,Fenugreek Leaves,,,
Bread,Biscuits,Ginger,Mango,Jam,Tomato,,,,,,
Potato,Curd,Cooking Oil,Tea Powder,Beetroot,Lemon,Coffee Powder,Besan,Onions,Papaya,Tamarind,
Pomegranate,Garlic,Cumin Seeds,Coriander,Coffee Powder,Okra,Yogurt,Fenugreek Leaves,Paneer,,,
Bread,Besan,Brinjal,Pickle,Mango,Semolina,Papaya,Cabbage,Lassi,Tamarind,Okra,Paneer
Yogurt,Apple,Fenugreek Leaves,Pomegranate,Wheat Flour,Beetroot,Besan,Capsicum,Pickle,Sooji,Lemon,Lassi
Semolina,Cauliflower,Wheat Flour,Mustard Seeds,Apple,Coriander,Cheese,Carrot,Butter,Lemon,,
Paneer,Tomato,Cheese,Cumin Seeds,Turmeric Powder,Papaya,Honey,Lemon,Sugar,Cauliflower,Cabbage,Garlic
Okra,Bell Peppers,Spinach,Orange,Wheat Flour,Salt,,,,,,
Capsicum,Coriander,Brinjal,Wheat Flour,Bread,Carrot,Tamarind,Banana,Spinach,,,
Okra,Fenugreek Leaves,Potato,Sooji,Cumin Seeds,,,,,,,
Cooking Oil,Yogurt,Bread,Lassi,Jam,,,,,,,
Dals,Jam,Carrot,Turmeric Powder,Chili Powder,Sooji,Lassi,Tea Powder,,,,
Cauliflower,Cabbage,Papaya,Spinach,Dals,Pomegranate,Cumin Seeds,Salt,Potato,,,
Salt,Carrot,Tea Powder,Fenugreek Leaves,Potato,,,,,,,
Carrot,Coconut,Apple,Milk,Yogurt,Guava,Okra,,,,,
Fenugreek Leaves,Banana,Mustard Seeds,Okra,Butter,,,,,,,
Capsicum,Butter,Potato,Tamarind,Paneer,Sooji,Milk,,,,,
Curd,Papaya,Cumin Seeds,Tamarind,Green Chili,Pickle,Coconut,Lemon,Dals,Wheat Flour,Mint Leaves,
Bread,Potato,Guava,Papaya,Salt,Chili Powder,Spinach,Green Chili,Cooking Oil,,,
Curd,Coconut,Okra,Sugar,Capsicum,Sooji,Paneer,Wheat Flour,,,,
Bell Peppers,Cabbage,Cooking Oil,Milk,Yogurt,Mint Leaves,Cauliflower,Tamarind,Mustard Seeds,,,
Onions,Okra,Pickle,Spinach,Sugar,Banana,Bread,Mint Leaves,Coffee Powder,Chili Powder,,
Wheat Flour,Butter,Mango,Pomegranate,Yogurt,Cooking Oil,Lemon,Rice,Milk,,,
Tamarind,Carrot,Yogurt,Brinjal,Coffee Powder,Curd,Jam,Biscuits,,,,
Biscuits,Wheat Flour,Rice,Chili Powder,Fenugreek Leaves,Paneer,Sugar,Tomato,Potato,Orange,,
Bell Peppers,Turmeric Powder,Coriander,Pickle,Pomegranate,Spinach,Brinjal,Mango,Papaya,,,
Capsicum,Potato,Chili Powder,Cooking Oil,Banana,,,,,,,
Coconut,Cumin Seeds,Salt,Besan,Carrot,,,,,,,
Brinjal,Besan,Garlic,Banana,Papaya,Tamarind,Cauliflower,Green Chili,,,,
Onions,Tomato,Cheese,Banana,Bread,Garlic,Capsicum,Milk,Tea Powder,Brinjal,,
Paneer,Spinach,Carrot,Coffee Powder,Rice,Biscuits,Sugar,,,,,
Mint Leaves,Cabbage,Okra,Besan,Capsicum,Bell Peppers,Lassi,Garlic,Coconut,Bread,Pomegranate,Fenugreek Leaves
Mango,Potato,Banana,Fenugreek Leaves,Mustard Seeds,Coconut,Pomegranate,Sugar,Coffee Powder,,,
Mango,Ginger,Mint Leaves,Yogurt,Bread,Dals,Cooking Oil,Pomegranate,Mustard Seeds,Salt,Besan,
Onions,Fenugreek Leaves,Cheese,Cooking Oil,Salt,,,,,,,
Coffee Powder,Banana,Tea Powder,Mustard Seeds,Salt,Carrot,Mint Leaves,Guava,Cauliflower,,,
Pickle,Sugar,Bell Peppers,Dals,Honey,Carrot,Biscuits,Wheat Flour,Beetroot,Cheese,Cooking Oil,
Guava,Tomato,Carrot,Mint Leaves,Coriander,Spinach,Pickle,Cumin Seeds,,,,
Tea Powder,Cooking Oil,Turmeric Powder,Papaya,Cheese,Lassi,,,,,,
Green Chili,Besan,Salt,Biscuits,Turmeric Powder,Brinjal,Cheese,Guava,Papaya,Rice,,
Lassi,Rice,Bread,Cooking Oil,Spinach,Coriander,,,,,,
Mustard Seeds,Coriander,Cumin Seeds,Lassi,Potato,Semolina,Bread,Besan,Dals,Fenugreek Leaves,Coffee Powder,Guava
Fenugreek Leaves,Semolina,Yogurt,Paneer,Carrot,Spinach,Coriander,Brinjal,Ginger,,,
